Date,SP500,FTSE100,HSI,Nikkei225
2022-11-08,7306.10009765625,3828.110107421875,16557.310546875,27872.109375
2022-11-09,7296.2998046875,3748.570068359375,16358.51953125,27716.4296875
2022-11-10,7375.2998046875,3956.3701171875,16081.0400390625,27446.099609375
2022-11-11,7318.0,3992.929931640625,17325.66015625,28263.5703125
2022-11-14,7385.2001953125,3957.25,17619.7109375,27963.470703125
2022-11-15,7369.39990234375,3991.72998046875,18343.119140625,27990.169921875
2022-11-16,7351.2001953125,3958.7900390625,18256.48046875,28028.30078125
2022-11-17,7346.5,3946.56005859375,18045.66015625,27930.5703125
2022-11-18,7385.5,3965.340087890625,17992.5390625,27899.76953125
2022-11-21,7376.89990234375,3949.93994140625,17655.91015625,27944.7890625
2022-11-22,7452.7998046875,4003.580078125,17424.41015625,28115.740234375
2022-11-23,7465.2001953125,4027.260009765625,17523.810546875,28115.740234375
2022-11-24,7466.60009765625,4027.260009765625,17660.900390625,28383.08984375
2022-11-25,7486.7001953125,4026.1201171875,17573.580078125,28283.029296875
2022-11-28,7474.0,3963.93994140625,17297.939453125,28162.830078125
2022-11-29,7512.0,3957.6298828125,18204.6796875,28027.83984375
2022-11-30,7573.10009765625,4080.110107421875,18597.23046875,27968.990234375
2022-12-01,7558.5,4076.570068359375,18736.439453125,28226.080078125
2022-12-02,7556.2001953125,4071.699951171875,18675.349609375,27777.900390625
2022-12-05,7567.5,3998.840087890625,19518.2890625,27820.400390625
2022-12-06,7521.39990234375,3941.260009765625,19441.1796875,27885.869140625
2022-12-07,7489.2001953125,3933.919921875,18814.8203125,27686.400390625
2022-12-08,7472.2001953125,3963.510009765625,19450.23046875,27574.4296875
2022-12-09,7476.60009765625,3934.3798828125,19900.869140625,27901.009765625
2022-12-12,7446.0,3990.56005859375,19463.630859375,27842.330078125
2022-12-13,7502.89990234375,4019.64990234375,19596.19921875,27954.849609375
2022-12-14,7495.89990234375,3995.320068359375,19673.44921875,28156.2109375
