Symbol,Description,Price,Price - Currency,Price Change % 1 day,Performance % 1 week,Performance % 1 month,Performance % 3 months,Performance % 6 months,Performance % Year to date,Performance % 1 year,Performance % 5 years,Performance % 10 years,Performance % All Time,Volatility 1 week,Volatility 1 month,Simple Moving Average (50) 1 day,Simple Moving Average (200) 1 day,"Earnings per share basic, Annual","Earnings per share basic, Annual - Currency","Earnings per share diluted, Annual","Earnings per share diluted, Annual - Currency","EBITDA, Annual","EBITDA, Annual - Currency","Gross profit, Annual","Gross profit, Annual - Currency","Net income, Annual","Net income, Annual - Currency","Free cash flow, Annual","Free cash flow, Annual - Currency","Debt to revenue ratio, Annual","Debt to equity ratio, Annual",Market capitalization,Market capitalization - Currency,"Dividends per share, Annual","Dividends per share, Annual - Currency",Beta 5 years,Sector,Index,Analyst Rating,Country or region of registration,"Fiscal period end date, Annual",Industry,Volatility 1 day
SAPT,Sapphire Textile Mills Limited,1331.7,PKR,9.999669596246608,-3.5663854592852746,3.3126454615981418,-3.149090909090906,-3.5698769007965208,-0.6942528392778536,21.17269178624399,66.25468164794009,94.37763342229718,534.3066857226202,5.290216518518225,5.805265372906145,1319.2765999999995,1325.3773499999998,1.5168134020000001,USD,1.5168134020000001,USD,104766143.2064,USD,121774122.467712,USD,32899362.429648,USD,25819224.9354,USD,0.5017168375582842,1.01712071830762,93060233.406824,USD,0.088842,USD,0.056455873,Process industries,"KSE All Share, PSX-KMI All Share",No rating,Pakistan,2025-06-30,Textiles,9.341770198317766
2392,Xuan Wu Cloud Technology Holdings Limited,1.31,HKD,0,0,1.5503875968992262,2.343750000000002,10.084033613445387,11.016949152542383,47.19101123595507,-79.00641025641025,-79.00641025641025,-79.00641025641025,1.8367950766317547,4.25018295409067,1.3810000000000002,1.2992500000000005,-0.014079215999999999,USD,-0.014079215999999999,USD,-3482947.5413999995,USD,15275786.73344537,USD,-7571229.764873584,USD,,,0.19110384403291197,0.510991758429535,93054336.26191999,USD,0,USD,0.34227666,Technology services,,No rating,China,2025-12-31,Packaged software,3.053435114503819
HP3A,Ringmetall SE,2.78,EUR,0.724637681159421,6.1068702290076216,3.731343283582076,1.459854014598525,2.205882352941162,0,-17.751479289940832,-13.664596273291938,-13.664596273291938,-13.664596273291938,1.8368303410483804,2.730800019548438,2.842399999999991,2.9388,0.377648256,USD,0.377648256,USD,23723101.52,USD,34077371.96,USD,10976437.66,USD,12138989.72,USD,0.3560450995414575,0.709154680969788,93037748.05798,USD,0.103522,USD,0.23033436,Producer manufacturing,,Neutral,Germany,2024-12-31,Industrial machinery,0.724637681159421
1981,"Kyowanissei Co., Ltd.",1429,JPY,0.7047216349541932,1.5636105188343994,-7.567917205692108,-11.790123456790123,-7.147498375568551,-9.72836386607707,21.720613287904598,35.066162570888466,191.03869653767822,333.030303030303,0.7377400804167692,1.1354943966662367,1545.92,1505.96,0.6930613536,USD,0.6930613536,USD,11710568.826,USD,24189614.13,USD,7557137.544,USD,6295697.034,USD,0.0009800993227180137,0.0019434154084352001,92995714.12768,USD,0.279972,USD,0.40947783,Industrial services,,No rating,Japan,2025-03-31,Engineering & construction,0.7724719101123596
FLL,"Full House Resorts, Inc.",2.57,USD,0.3906249999999917,14.73214285714284,15.765765765765748,-3.0188679245283048,-6.54545454545455,-1.5325670498084305,-20.186335403726716,-70.79545454545455,77.24137931034483,-14.333333333333337,5.101153478374511,6.175330325433022,2.3766999999999987,3.033950000000004,-1.1156,USD,-1.1156,USD,46395000,USD,113498000,USD,-40197000,USD,-2681000,USD,1.75808926634389,209.457840819543,92990490,USD,0,USD,1.2766027,Consumer services,"NASDAQ Composite, NASDAQ Industrials",Buy,United States,2025-12-31,Casinos/Gaming,2.1739130434782674
DHARMAJ,Dharmaj Crop Guard Ltd.,259.89,INR,1.8258041766250035,9.45502021563342,5.218623481781371,10.300483829895587,-14.509868421052637,7.873983064917815,33.27692307692307,-2.315350585053581,-2.315350585053581,-2.315350585053581,5.382172670195224,3.9490473575239933,238.9136,280.32599999999957,0.12057857820000001,USD,0.12057857820000001,USD,8746074.8,USD,11838913.4,USD,4075221.5,USD,-626408.06,USD,0.12165182448785797,0.292981179530997,92985767.711928,USD,0,USD,0.79208076,Process industries,,No rating,India,2025-03-31,Chemicals: agricultural,5.098039215686274
2307,"Cross Cat Co., Ltd.",987,JPY,1.7525773195876289,2.8125,0.7142857142857143,-8.948339483394834,-12.73209549071618,-8.100558659217876,10.526315789473685,73.76760563380282,328.1995661605206,545.0980392156863,1.4551346461425427,1.700078430648982,996.62,1060.765,0.6210905514,USD,0.6210905514,USD,13597220.142,USD,25640115.732,USD,8777562.156,USD,4310342.256,USD,0.09290914367574778,0.257030108145523,92978821.86892,USD,0.219978,USD,1.0534998,Technology services,,No rating,Japan,2025-03-31,Information technology services,1.9328585961342828
CAPM,Capital Management REIT,45.6,EUR,0,0,0.8849557522123862,2.5124681913477995,4.924526821447227,1.3333333333333366,6.1736286220632834,36.161600887773645,-17.107041567764696,-99.99587239319789,0,-8.881784197001252e-16,43.00061453999996,45.91044170501442,0.9828299679999999,USD,,,,,2655145.469179948,USD,1728066.182790564,USD,,,8.96902840176229,0.53320485688275,92977157.39048,USD,,,,Finance,,No rating,Bulgaria,2025-12-31,Real estate investment trusts,0
BSEM,"BioStem Technologies, Inc.",5.69,USD,15.415821501014213,35.79952267303102,-0.3502626970227596,31.408775981524254,19.037656903765694,48.56396866840732,-20.41958041958042,315.32846715328463,-47.798165137614674,-99.91871660809691,14.095920865862453,8.60224017941574,5.601677999999997,6.357700750000006,-0.3934,USD,-0.3934,USD,-308130,USD,44219508,USD,-6580912,USD,6589330,USD,0.07015350970256844,0.0851102612539549,92965701.99999999,USD,0,USD,0.27888086,Health technology,,No rating,United States,2025-12-31,Biotechnology,25.564421352137057
8088,Panram International Corp.,51,TWD,4.722792607802869,-0.970873786407767,16.97247706422018,3.0303030303030303,32.98565840938721,10.389610389610382,113.38912133891215,65.85365853658537,209.50574057289512,197.56389688745833,4.425204355649447,7.05382397284444,55.83299999999996,42.583250000000035,0.054135448499999995,USD,0.05391876649999999,USD,6017291.005,USD,5823233.154999999,USD,3298059.3649999998,USD,-12709418.979999999,USD,0.08177144616471475,0.124039693860557,92961534.38431899,USD,0.04779749999999999,USD,0.8131234,Electronic technology,,No rating,Taiwan,2025-12-31,Computer peripherals,5.357142857142848
